entry_index,positive_affect_llm,negative_affect_llm,model,status,error
7,0.1,0.2,gpt-4.1-mini,success,
14,0.0,0.8,gpt-4.1-mini,success,
25,0.4,0.3,gpt-4.1-mini,success,
36,0.8,0.2,gpt-4.1-mini,success,
52,0.0,0.0,gpt-4.1-mini,success,
83,0.1,0.7,gpt-4.1-mini,success,
104,0.8,0.2,gpt-4.1-mini,success,
130,0.0,0.0,gpt-4.1-mini,success,
153,0.0,0.0,gpt-4.1-mini,success,
159,0.3,0.7,gpt-4.1-mini,success,
189,0.3,0.0,gpt-4.1-mini,success,
213,0.1,0.9,gpt-4.1-mini,success,
239,0.7,0.0,gpt-4.1-mini,success,
264,0.8,0.1,gpt-4.1-mini,success,
297,0.6,0.1,gpt-4.1-mini,success,
301,0.6,0.0,gpt-4.1-mini,success,
342,0.0,0.0,gpt-4.1-mini,success,
370,0.7,0.1,gpt-4.1-mini,success,
384,0.1,0.9,gpt-4.1-mini,success,
417,0.9,0.0,gpt-4.1-mini,success,
424,0.1,0.8,gpt-4.1-mini,success,
455,0.5,0.4,gpt-4.1-mini,success,
481,0.3,0.7,gpt-4.1-mini,success,
507,0.4,0.6,gpt-4.1-mini,success,
533,0.1,0.7,gpt-4.1-mini,success,
562,0.6,0.2,gpt-4.1-mini,success,
569,0.6,0.0,gpt-4.1-mini,success,
592,0.3,0.5,gpt-4.1-mini,success,
614,0.8,0.2,gpt-4.1-mini,success,
644,0.8,0.0,gpt-4.1-mini,success,
648,0.4,0.6,gpt-4.1-mini,success,
677,0.7,0.3,gpt-4.1-mini,success,
699,0.8,0.2,gpt-4.1-mini,success,
712,0.6,0.3,gpt-4.1-mini,success,
746,0.9,0.0,gpt-4.1-mini,success,
778,0.4,0.3,gpt-4.1-mini,success,
802,0.2,0.8,gpt-4.1-mini,success,
826,0.2,0.3,gpt-4.1-mini,success,
832,0.7,0.1,gpt-4.1-mini,success,
854,0.5,0.3,gpt-4.1-mini,success,
872,0.4,0.6,gpt-4.1-mini,success,
898,0.9,0.0,gpt-4.1-mini,success,
908,0.3,0.7,gpt-4.1-mini,success,
945,0.3,0.6,gpt-4.1-mini,success,
973,0.2,0.3,gpt-4.1-mini,success,
977,0.8,0.1,gpt-4.1-mini,success,
999,0.2,0.8,gpt-4.1-mini,success,
1027,0.0,0.9,gpt-4.1-mini,success,
1049,0.7,0.2,gpt-4.1-mini,success,
1084,0.3,0.4,gpt-4.1-mini,success,
1114,0.7,0.3,gpt-4.1-mini,success,
1147,0.3,0.7,gpt-4.1-mini,success,
1167,0.8,0.0,gpt-4.1-mini,success,
1172,0.7,0.0,gpt-4.1-mini,success,
1178,0.7,0.3,gpt-4.1-mini,success,
1193,0.8,0.0,gpt-4.1-mini,success,
1207,0.6,0.0,gpt-4.1-mini,success,
1213,0.1,0.0,gpt-4.1-mini,success,
1251,0.7,0.3,gpt-4.1-mini,success,
1262,0.7,0.1,gpt-4.1-mini,success,
1276,0.2,0.8,gpt-4.1-mini,success,
1301,0.85,0.1,gpt-4.1-mini,success,
1308,0.7,0.3,gpt-4.1-mini,success,
1319,0.4,0.6,gpt-4.1-mini,success,
1334,0.7,0.0,gpt-4.1-mini,success,
1341,0.9,0.1,gpt-4.1-mini,success,
1350,0.2,0.0,gpt-4.1-mini,success,
1353,0.3,0.5,gpt-4.1-mini,success,
1386,0.8,0.2,gpt-4.1-mini,success,
1404,0.75,0.15,gpt-4.1-mini,success,
1420,0.4,0.3,gpt-4.1-mini,success,
1431,0.85,0.15,gpt-4.1-mini,success,
1448,0.3,0.7,gpt-4.1-mini,success,
1467,0.6,0.4,gpt-4.1-mini,success,
1485,0.2,0.0,gpt-4.1-mini,success,
1515,0.7,0.1,gpt-4.1-mini,success,
1525,0.6,0.4,gpt-4.1-mini,success,
1545,0.2,0.8,gpt-4.1-mini,success,
1559,0.1,0.7,gpt-4.1-mini,success,
1575,0.6,0.4,gpt-4.1-mini,success,
1581,0.8,0.0,gpt-4.1-mini,success,
1587,0.2,0.8,gpt-4.1-mini,success,
1597,0.7,0.2,gpt-4.1-mini,success,
1607,0.8,0.0,gpt-4.1-mini,success,
1613,0.2,0.6,gpt-4.1-mini,success,
1642,0.1,0.8,gpt-4.1-mini,success,
1656,0.8,0.1,gpt-4.1-mini,success,
1666,0.8,0.0,gpt-4.1-mini,success,
1671,0.8,0.0,gpt-4.1-mini,success,
1675,0.2,0.4,gpt-4.1-mini,success,
1682,0.9,0.1,gpt-4.1-mini,success,
1690,0.6,0.1,gpt-4.1-mini,success,
1699,0.3,0.7,gpt-4.1-mini,success,
1707,0.1,0.0,gpt-4.1-mini,success,
1742,0.3,0.7,gpt-4.1-mini,success,
1769,0.6,0.0,gpt-4.1-mini,success,
1775,0.2,0.3,gpt-4.1-mini,success,
1779,0.1,0.3,gpt-4.1-mini,success,
1787,0.3,0.2,gpt-4.1-mini,success,
1825,0.8,0.0,gpt-4.1-mini,success,
1833,0.7,0.0,gpt-4.1-mini,success,
1843,0.7,0.3,gpt-4.1-mini,success,
1848,0.3,0.7,gpt-4.1-mini,success,
1858,0.1,0.8,gpt-4.1-mini,success,
1872,0.1,0.8,gpt-4.1-mini,success,
1897,0.6,0.0,gpt-4.1-mini,success,
1908,0.4,0.3,gpt-4.1-mini,success,
1917,0.8,0.1,gpt-4.1-mini,success,
1926,0.8,0.0,gpt-4.1-mini,success,
1935,0.8,0.1,gpt-4.1-mini,success,
1947,0.3,0.7,gpt-4.1-mini,success,
1961,0.7,0.3,gpt-4.1-mini,success,
1980,0.6,0.1,gpt-4.1-mini,success,
2011,0.0,0.0,gpt-4.1-mini,success,
2028,0.3,0.7,gpt-4.1-mini,success,
2056,0.1,0.7,gpt-4.1-mini,success,
2082,0.4,0.6,gpt-4.1-mini,success,
2109,0.2,0.3,gpt-4.1-mini,success,
2137,0.0,0.6,gpt-4.1-mini,success,
2146,0.2,0.4,gpt-4.1-mini,success,
2156,0.8,0.1,gpt-4.1-mini,success,
2177,0.2,0.8,gpt-4.1-mini,success,
2208,0.7,0.3,gpt-4.1-mini,success,
2234,0.0,0.9,gpt-4.1-mini,success,
2257,0.8,0.0,gpt-4.1-mini,success,
2282,0.2,0.8,gpt-4.1-mini,success,
2297,0.7,0.3,gpt-4.1-mini,success,
2315,0.7,0.2,gpt-4.1-mini,success,
2330,0.8,0.1,gpt-4.1-mini,success,
2340,0.7,0.3,gpt-4.1-mini,success,
2347,0.9,0.0,gpt-4.1-mini,success,
2355,0.0,0.3,gpt-4.1-mini,success,
2373,0.2,0.1,gpt-4.1-mini,success,
2401,0.3,0.0,gpt-4.1-mini,success,
2425,0.2,0.6,gpt-4.1-mini,success,
2450,0.3,0.0,gpt-4.1-mini,success,
2473,0.6,0.2,gpt-4.1-mini,success,
2486,0.4,0.5,gpt-4.1-mini,success,
2508,0.4,0.3,gpt-4.1-mini,success,
2525,0.9,0.0,gpt-4.1-mini,success,
2545,0.7,0.0,gpt-4.1-mini,success,
2566,0.3,0.2,gpt-4.1-mini,success,
2590,0.3,0.2,gpt-4.1-mini,success,
2599,0.1,0.0,gpt-4.1-mini,success,
2621,0.3,0.4,gpt-4.1-mini,success,
2641,0.2,0.6,gpt-4.1-mini,success,
2663,0.6,0.4,gpt-4.1-mini,success,
2686,0.3,0.5,gpt-4.1-mini,success,
2710,0.6,0.3,gpt-4.1-mini,success,
2741,0.3,0.6,gpt-4.1-mini,success,
2772,0.6,0.1,gpt-4.1-mini,success,
2799,0.2,0.6,gpt-4.1-mini,success,
2826,0.8,0.3,gpt-4.1-mini,success,
2851,0.6,0.2,gpt-4.1-mini,success,
2875,0.5,0.4,gpt-4.1-mini,success,
2894,0.8,0.1,gpt-4.1-mini,success,
2918,0.1,0.8,gpt-4.1-mini,success,
2947,0.7,0.0,gpt-4.1-mini,success,
2975,0.4,0.3,gpt-4.1-mini,success,
2997,0.6,0.4,gpt-4.1-mini,success,
3017,0.1,0.9,gpt-4.1-mini,success,
3039,0.4,0.3,gpt-4.1-mini,success,
3051,0.8,0.0,gpt-4.1-mini,success,
3070,0.3,0.0,gpt-4.1-mini,success,
3095,0.2,0.6,gpt-4.1-mini,success,
3121,0.8,0.1,gpt-4.1-mini,success,
3139,0.85,0.15,gpt-4.1-mini,success,
3155,0.6,0.4,gpt-4.1-mini,success,
3173,0.6,0.4,gpt-4.1-mini,success,
3194,0.4,0.6,gpt-4.1-mini,success,
3217,0.7,0.1,gpt-4.1-mini,success,
3247,0.1,0.7,gpt-4.1-mini,success,
3274,0.6,0.4,gpt-4.1-mini,success,
3307,0.1,0.0,gpt-4.1-mini,success,
3318,0.7,0.3,gpt-4.1-mini,success,
3326,0.1,0.0,gpt-4.1-mini,success,
3347,0.1,0.9,gpt-4.1-mini,success,
3354,0.7,0.3,gpt-4.1-mini,success,
3360,0.3,0.1,gpt-4.1-mini,success,
3367,0.0,0.0,gpt-4.1-mini,success,
3401,0.0,0.9,gpt-4.1-mini,success,
3429,0.8,0.2,gpt-4.1-mini,success,
3444,0.6,0.1,gpt-4.1-mini,success,
3457,0.8,0.1,gpt-4.1-mini,success,
3474,0.85,0.1,gpt-4.1-mini,success,
3491,0.5,0.4,gpt-4.1-mini,success,
3507,0.4,0.6,gpt-4.1-mini,success,
3517,0.3,0.4,gpt-4.1-mini,success,
3527,0.4,0.3,gpt-4.1-mini,success,
3534,0.7,0.2,gpt-4.1-mini,success,
3541,0.1,0.0,gpt-4.1-mini,success,
3566,0.1,0.8,gpt-4.1-mini,success,
3587,0.7,0.0,gpt-4.1-mini,success,
3604,0.7,0.3,gpt-4.1-mini,success,
3611,0.2,0.6,gpt-4.1-mini,success,
3618,0.8,0.0,gpt-4.1-mini,success,
3629,0.2,0.8,gpt-4.1-mini,success,
3639,0.2,0.6,gpt-4.1-mini,success,
3653,0.9,0.0,gpt-4.1-mini,success,
3659,0.6,0.4,gpt-4.1-mini,success,
3671,0.7,0.0,gpt-4.1-mini,success,
3679,0.4,0.6,gpt-4.1-mini,success,
3697,0.2,0.8,gpt-4.1-mini,success,
3698,0.2,0.8,gpt-4.1-mini,success,
3717,0.6,0.2,gpt-4.1-mini,success,
3740,0.8,0.1,gpt-4.1-mini,success,
3747,0.6,0.3,gpt-4.1-mini,success,
3754,0.85,0.1,gpt-4.1-mini,success,
3761,0.4,0.5,gpt-4.1-mini,success,
3768,0.8,0.1,gpt-4.1-mini,success,
3775,0.85,0.1,gpt-4.1-mini,success,
3781,0.4,0.3,gpt-4.1-mini,success,
3788,0.6,0.3,gpt-4.1-mini,success,
3816,0.7,0.3,gpt-4.1-mini,success,
3833,0.3,0.1,gpt-4.1-mini,success,
3845,0.7,0.3,gpt-4.1-mini,success,
3875,0.85,0.15,gpt-4.1-mini,success,
3892,0.4,0.6,gpt-4.1-mini,success,
3913,0.4,0.6,gpt-4.1-mini,success,
3936,0.6,0.4,gpt-4.1-mini,success,
3954,0.3,0.1,gpt-4.1-mini,success,
3987,0.1,0.7,gpt-4.1-mini,success,
4014,0.2,0.8,gpt-4.1-mini,success,
4023,0.7,0.3,gpt-4.1-mini,success,
4032,0.7,0.3,gpt-4.1-mini,success,
4041,0.4,0.6,gpt-4.1-mini,success,
4051,0.1,0.0,gpt-4.1-mini,success,
4070,0.4,0.3,gpt-4.1-mini,success,
4095,0.6,0.1,gpt-4.1-mini,success,
4113,0.0,0.0,gpt-4.1-mini,success,
4121,0.6,0.0,gpt-4.1-mini,success,
4128,0.6,0.2,gpt-4.1-mini,success,
4135,0.2,0.6,gpt-4.1-mini,success,
4143,0.3,0.7,gpt-4.1-mini,success,
4152,0.3,0.4,gpt-4.1-mini,success,
4160,0.8,0.2,gpt-4.1-mini,success,
4168,0.1,0.2,gpt-4.1-mini,success,
4175,0.6,0.1,gpt-4.1-mini,success,
